node,seg,start,offset,process,wait,down,idle,workId,agvId
Source #11,1,249.800,249.800,0,0,0,0,,
Source #22,1,249.800,249.800,0,0,0,0,,
Source #12,1,249.800,249.800,0,0,0,0,,
Source #29,1,249.800,249.800,0,0,0,0,,
Source #43,1,249.800,249.800,0,0,0,0,,
Source #54,1,249.800,249.800,0,0,0,0,,
Source #1,1,249.800,249.800,0,0,0,0,,
Source #65,1,249.800,249.800,0,0,0,0,,
EquipmentNode #13,1,249.800,249.800,1.300,0,0,0,20,
EquipmentNode #13,2,251.100,251.100,0,18.100,0,0,20,
EquipmentNode #13,3,269.200,269.200,0,0,3.000,0,20,
EquipmentNode #13,4,272.200,272.200,0,0,0,0.100,20,
EquipmentNode #13,5,272.300,272.300,2.000,0,0,0,21,
EquipmentNode #13,6,274.300,274.300,0,18.100,0,0,21,
EquipmentNode #13,7,292.400,292.400,0,0,3.000,0,21,
EquipmentNode #13,8,295.400,295.400,0,0,0,0.100,21,
EquipmentNode #13,9,295.500,295.500,2.000,0,0,0,22,
EquipmentNode #13,10,297.500,297.500,0,18.100,0,0,22,
EquipmentNode #13,11,315.600,315.600,0,0,3.000,0,22,
EquipmentNode #13,12,318.600,318.600,0,0,0,0.100,22,
EquipmentNode #13,13,318.700,318.700,2.000,0,0,0,23,
EquipmentNode #13,14,320.700,320.700,0,18.100,0,0,23,
EquipmentNode #13,15,338.800,338.800,0,0,3.000,0,23,
EquipmentNode #13,16,341.800,341.800,0,0,0,0.100,23,
EquipmentNode #13,17,341.900,341.900,2.000,0,0,0,24,
EquipmentNode #13,18,343.900,343.900,0,18.100,0,0,24,
EquipmentNode #13,19,362.000,362.000,0,0,3.000,0,24,
EquipmentNode #13,20,365.000,365.000,0,0,0,0.100,24,
EquipmentNode #13,21,365.100,365.100,2.000,0,0,0,25,
EquipmentNode #13,22,367.100,367.100,0,18.100,0,0,25,
EquipmentNode #13,23,385.200,385.200,0,0,3.000,0,25,
EquipmentNode #13,24,388.200,388.200,0,0,0,0.100,25,
EquipmentNode #13,25,388.300,388.300,2.000,0,0,0,26,
EquipmentNode #13,26,390.300,390.300,0,18.100,0,0,26,
EquipmentNode #13,27,408.400,408.400,0,0,3.000,0,26,
EquipmentNode #13,28,411.400,411.400,0,0,0,0.100,26,
EquipmentNode #13,29,411.500,411.500,2.000,0,0,0,27,
EquipmentNode #13,30,413.500,413.500,0,18.100,0,0,27,
EquipmentNode #13,31,431.600,431.600,0,0,3.000,0,27,
EquipmentNode #13,32,434.600,434.600,0,0,0,0.100,27,
EquipmentNode #13,33,434.700,434.700,2.000,0,0,0,28,
EquipmentNode #13,34,436.700,436.700,0,18.100,0,0,28,
EquipmentNode #13,35,454.800,454.800,0,0,3.000,0,28,
EquipmentNode #13,36,457.800,457.800,0,0,0,0.100,28,
EquipmentNode #13,37,457.900,457.900,2.000,0,0,0,29,
EquipmentNode #13,38,459.900,459.900,0,18.100,0,0,29,
EquipmentNode #13,39,478.000,478.000,0,0,3.000,0,29,
EquipmentNode #13,40,481.000,481.000,0,0,0,0.100,29,
EquipmentNode #13,41,481.100,481.100,2.000,0,0,0,30,
EquipmentNode #13,42,483.100,483.100,0,18.100,0,0,30,
EquipmentNode #13,43,501.200,501.200,0,0,3.000,0,30,
EquipmentNode #13,44,504.200,504.200,0,0,0,0.100,30,
EquipmentNode #13,45,504.300,504.300,2.000,0,0,0,31,
EquipmentNode #13,46,506.300,506.300,0,18.100,0,0,31,
EquipmentNode #13,47,524.400,524.400,0,0,3.000,0,31,
EquipmentNode #13,48,527.400,527.400,0,0,0,0.100,31,
EquipmentNode #13,49,527.500,527.500,2.000,0,0,0,32,
EquipmentNode #13,50,529.500,529.500,0,18.100,0,0,32,
EquipmentNode #13,51,547.600,547.600,0,0,3.000,0,32,
EquipmentNode #13,52,550.600,550.600,0,0,0,0.100,32,
EquipmentNode #13,53,550.700,550.700,2.000,0,0,0,33,
EquipmentNode #13,54,552.700,552.700,0,18.100,0,0,33,
EquipmentNode #13,55,570.800,570.800,0,0,3.000,0,33,
EquipmentNode #13,56,573.800,573.800,0,0,0,0.100,33,
EquipmentNode #13,57,573.900,573.900,2.000,0,0,0,34,
EquipmentNode #13,58,575.900,575.900,0,18.100,0,0,34,
EquipmentNode #13,59,594.000,594.000,0,0,3.000,0,34,
EquipmentNode #13,60,597.000,597.000,0,0,0,0.100,34,
EquipmentNode #13,61,597.100,597.100,2.000,0,0,0,35,
EquipmentNode #13,62,599.100,599.100,0,18.100,0,0,35,
EquipmentNode #13,63,617.200,617.200,0,0,3.000,0,35,
EquipmentNode #13,64,620.200,620.200,0,0,0,0.100,35,
EquipmentNode #13,65,620.300,620.300,2.000,0,0,0,36,
EquipmentNode #13,66,622.300,622.300,0,18.100,0,0,36,
EquipmentNode #13,67,640.400,640.400,0,0,3.000,0,36,
EquipmentNode #13,68,643.400,643.400,0,0,0,0.100,36,
EquipmentNode #13,69,643.500,643.500,2.000,0,0,0,37,
EquipmentNode #13,70,645.500,645.500,0,18.100,0,0,37,
EquipmentNode #13,71,663.600,663.600,0,0,3.000,0,37,
EquipmentNode #13,72,666.600,666.600,0,0,0,0.100,37,
EquipmentNode #13,73,666.700,666.700,2.000,0,0,0,38,
EquipmentNode #13,74,668.700,668.700,0,18.100,0,0,38,
EquipmentNode #13,75,686.800,686.800,0,0,3.000,0,38,
EquipmentNode #13,76,689.800,689.800,0,0,0,0.100,38,
EquipmentNode #13,77,689.900,689.900,2.000,0,0,0,39,
EquipmentNode #13,78,691.900,691.900,0,18.100,0,0,39,
EquipmentNode #13,79,710.000,710.000,0,0,3.000,0,39,
